100,182.000000
3430,2912.000000
6760,5688.000000
10090,8546.000000
13420,11748.000000
16750,14272.000000
20080,16886.000000
23410,21060.000000
26740,22816.000000
30070,25990.000000
33400,28130.000000
36730,31492.000000
40060,47676.000000
43390,37302.000000
46720,40268.000000
50050,55812.000000
53380,50430.000000
56710,52532.000000
60040,76264.000000
63370,73986.000000
66700,69874.000000
70030,73174.000000
73360,77026.000000
76690,85012.000000
80020,74274.000000
83350,85598.000000
86680,121192.000000
90010,124776.000000
93340,106634.000000
96670,94194.000000
