100,350.000000
3430,4450.000000
6760,8610.000000
10090,16816.000000
13420,17730.000000
16750,30418.000000
20080,36590.000000
23410,40312.000000
26740,34066.000000
30070,38580.000000
33400,54286.000000
36730,75180.000000
40060,126910.000000
43390,54830.000000
46720,126094.000000
50050,147176.000000
53380,74502.000000
56710,69246.000000
60040,98394.000000
63370,75142.000000
66700,139330.000000
70030,112686.000000
73360,112180.000000
76690,152488.000000
80020,167088.000000
83350,110548.000000
86680,172232.000000
90010,169830.000000
93340,183620.000000
96670,164678.000000
