100,100.000000
3430,3000.000000
6760,5828.000000
10090,8764.000000
13420,12188.000000
16750,16966.000000
20080,18802.000000
23410,23532.000000
26740,25726.000000
30070,28200.000000
33400,32058.000000
36730,34948.000000
40060,43342.000000
43390,54862.000000
46720,43784.000000
50050,84406.000000
53380,49316.000000
56710,52374.000000
60040,80812.000000
63370,59680.000000
66700,77466.000000
70030,65778.000000
73360,71226.000000
76690,71810.000000
80020,96344.000000
83350,113276.000000
86680,85310.000000
90010,84920.000000
93340,109776.000000
96670,93052.000000
